Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	43	2.6092233009708736	1.2110962586249013E-11	ROBO3, ROBO4, PCDHGB5, PCDHGB2, CELSR1, CELSR2, PKD1, CELSR3, MYPN, ADAMTSL1, CDH3, CDH2, CDH1, ME3, HMCN1, EMB, PCDH1, MPZL2, CADM3, PCDHGA5, PCDH9, PCDHGA4, PCDH20, PCDHGC3, PCDHA12, PCDHGA10, SDK1, CEACAM6, PTK7, CDH11, PCDHGB1, PECAM1, FAT2, CDH13, ESAM, DSG2, FAT3, DSG3, NECTIN4, PCDHB8, DSC2, DSC3, NECTIN1	1469	175	19416	3.247643683749879	6.153588183455128E-8	6.153580090073124E-8	6.082125410814254E-8
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	86	5.218446601941747	9.210566060118853E-11	DDR1, SEMA5A, PTPRU, NRP2, PCDHGB5, ITGB4, PCDHGB2, LAMC2, F11R, MSLN, CLDN1, CDH3, CDH2, CLDN23, SIRPA, ITGB8, NRCAM, SVEP1, ITGB6, EDIL3, CDON, MAGI1, POSTN, MYBPC1, PCDHGA5, PCDHGA4, PRKCE, OMD, PCDHA12, ATP1B1, AZGP1, VCAN, COL6A2, NINJ2, COL6A1, CLDN7, CDH11, COL4A6, ANOS1, PCDHGB1, MXRA8, AMTN, COL8A1, DSG2, FREM2, DSC2, DSC3, ENG, SELPLG, AMIGO3, LAMA3, ADAM22, THBS3, EFNB1, PDZD2, PODXL, PDPN, CLCA2, S1PR1, SPOCK1, LPXN, SLAMF7, HES1, MPZL3, PCDH1, CTNNAL1, JUP, LAMB3, PCDH9, PCDH20, PCDHGC3, FN1, PCDHGA10, COL1A1, COL5A1, FAP, PTK7, COL7A1, SSPN, ITGBL1, CNTN3, TGFBI, IGSF9B, CD24, PCDHB8, NECTIN1	1469	543	19416	2.0933246580339917	4.679887308789432E-7	2.3399443075731947E-7	2.312773137695844E-7
GOTERM_BP_DIRECT	GO:0030198~extracellular matrix organization	40	2.4271844660194173	1.8933759316861732E-10	COL17A1, COL13A1, NDNF, FBLN1, FURIN, ADAMTS12, OLFML2A, ADAMTS16, ADAMTSL1, ADAMTS15, ADAMTS5, ADAMTS3, MMP28, MPZL3, ADAMTS9, ADAMTS6, ADAMTS7, POSTN, MMP1, MMP2, SERPINB5, COL1A1, CCDC80, COL5A1, ELF3, SPINT1, MMP16, COL4A1, COL5A3, COL7A1, SMOC1, COL5A2, COL4A6, NF1, COL4A5, COL8A1, PTX3, TGFBI, COL9A2, MATN3	1469	168	19416	3.1469415540212	9.62023606776441E-7	3.2067477029658156E-7	3.169511309642654E-7
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	43	2.6092233009708736	1.4539058621327402E-9	CSTA, COL13A1, FBLIM1, ITGB4, LAMA3, LAMC2, CELSR1, F11R, CLDN2, CELSR2, CELSR3, CNN3, PRTG, TMEM47, SRPX2, CDH3, CDH2, TRIM29, CDH1, EPCAM, PERP, ITGB8, NRCAM, ITGB6, MPZL2, CDON, JUP, MERTK, VNN1, IGDCC4, PECAM1, ITGBL1, FAT2, ESAM, DSG2, FAT3, DSG3, PKP3, CD24, PLPP3, DSC2, DSC3, NECTIN1	1469	202	19416	2.8135526963179642	7.387268518899148E-6	1.8468239213741132E-6	1.8253788099076553E-6
GOTERM_BP_DIRECT	GO:0008544~epidermis development	24	1.4563106796116505	1.8048829439093516E-8	COL17A1, LAMB3, BNC1, LAMA3, KLK5, LAMC2, KRT5, CST6, POU3F2, KRT85, EDA2R, KLK7, SCEL, STS, SPINT1, COL7A1, KRT15, GJB5, KRT14, SVEP1, SPRR1A, SPRR1B, S100A7, ZNF750	1469	81	19416	3.916193933893049	9.170189829044162E-5	1.8341220476006832E-5	1.8128244288625525E-5
GOTERM_BP_DIRECT	GO:0009952~anterior/posterior pattern specification	25	1.516990291262136	1.0522144036518151E-7	BTG2, HOXC13, MLLT3, CELSR1, HOXC11, GLI3, HOXA10, HOXA9, HHEX, HOXA3, HOXC5, HOXA2, HES1, HOXC9, HOXC8, HES2, HOXA5, HOXC6, CDON, MSX2, ZBTB16, CTNNBIP1, HOXB9, HOXB4, HOXD4	1469	95	19416	3.4781985597076424	5.344872772453657E-4	8.910502308258121E-5	8.807034558565692E-5
GOTERM_BP_DIRECT	GO:0001525~angiogenesis	46	2.7912621359223304	2.152191223236238E-7	ROBO4, ECM1, NRP2, CXCL8, PLXND1, EPAS1, NPR3, SERPINE1, NDNF, PTPRJ, TSPAN12, SHB, SAT1, SRPX2, ANPEP, ZC3H12A, HOXA3, S1PR1, NRCAM, GLUL, EPHB3, ANGPT1, UNC5B, MMP2, DAB2IP, IL18, FN1, APLN, FMNL3, EFNA1, EPGN, KLF5, FAP, RHOJ, NF1, COL8A1, ANG, NOX5, CSPG4, TGFBI, MEIS3P1, ANGPTL4, RAMP1, RAPGEF3, S100A7, FGFR1	1469	264	19416	2.3029890463518785	0.0010929307937033172	1.562183372180475E-4	1.5440434747274838E-4
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	62	3.762135922330097	8.529496670084359E-7	SERPINA3, CD40, ECM1, NRROS, CXCL8, CSF1, GPR68, LY75, TNFAIP3, CXCL1, F11R, CXCL2, LTB4R, CXCL5, CYP26B1, ZC3H12A, CCRL2, BDKRB2, ITGB6, CMKLR1, CAMK1D, TICAM2, SPHK1, WNT5A, IL18, CYBA, TNFRSF1B, IL17RA, TLR1, IL1A, ELF3, COL6A1, TXNIP, S100A9, TLR4, S100A8, PTGFR, SEMA7A, C5AR2, PTAFR, FPR1, CXCR4, LY96, GATA3, FUT4, C3, IL1RL1, AGR2, S1PR3, CD14, CCL20, RARRES2, DAB2IP, FOSL1, VNN1, KRT16, HOOK1, CAMK4, TNFSF4, PTX3, ACKR1, IL18R1	1469	424	19416	1.932697124214907	0.004324461577429606	5.417296572587328E-4	5.354391534645456E-4
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription by RNA polymerase II	141	8.555825242718447	1.0417420472566337E-6	CSF3, PID1, PRDM5, RORB, FGF2, ETS2, HOXA10, HOXA9, ZNF606, SOX15, CREB3L1, ZC3H12A, NAMPT, HOXA2, HOXA1, KAT7, SOX7, JUNB, HOXA5, TP63, CDON, OSR1, WNT5A, MITF, EBF4, POU3F2, ARMCX3, HOXB9, ZNF717, HOXB4, LMX1B, TOX, NOTCH3, BEX1, EPAS1, GATA6, TWIST1, GATA3, PIK3R1, GATA2, FOXO1, ZBTB7B, NKX6-1, PPARGC1A, ZNF300, PPARGC1B, TFAP2A, WWTR1, EGR1, JUP, VDR, ZBTB16, IGF2, NFATC2, MICAL2, NR1D2, INHBA, SMARCA1, TRERF1, NR4A2, FOSL1, BMP4, BCL9, DAB2, MAFB, ID4, HOXD4, MEIS3P1, CIITA, CD40, ONECUT2, ONECUT3, SLC40A1, SIX1, ZNF43, ARRB1, TFCP2L1, HOXC13, FOXM1, HOXC11, PKD1, GLI3, HHEX, SIX3, SPX, MYBL1, NELFE, IL11, FOXD2, KLF13, FOXD1, NOG, IL18, EN2, ETV1, DCN, KAT2B, IL1A, ZEB1, ELF3, PAX9, CDH13, ZNF780B, PPARG, ZNF513, IRF6, TLR4, ZNF597, ZNF750, ENG, CEBPA, RNASEL, CEBPD, FSTL3, MUC1, EPCAM, P2RY1, E2F1, S1PR1, HES1, APBB1, E2F7, E2F8, SPDEF, KDM4C, MACC1, IRX3, DAB2IP, ARID3A, TBX3, KLF2, BATF, PER1, KLF7, MYO1C, KLF5, ERCC6, CAMK1, ZNF850, LPIN3, FOXA2	1469	1246	19416	1.495681210506705	0.005279110360032813	5.881212602345506E-4	5.812920623692016E-4
GOTERM_BP_DIRECT	GO:0030216~keratinocyte differentiation	19	1.1529126213592233	1.541802697321629E-6	FLG, CSTA, ST14, OPN3, WNT5A, AKR1C3, TGM1, SCEL, MAFB, KRT16, KRT14, TXNIP, IRF6, SPRR1A, IVL, SPRR1B, TP63, EZH2, S100A7	1469	67	19416	3.7481482986700265	0.0078033004772836145	7.833899505091197E-4	7.742933145949221E-4
